      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    1
S001G_G     .UVDATA.   1  Disk= 1    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 22-OCT-2021 14:37:36
Last written by Obit  on 22-OCT-2021 15:20:08
Ncol 26  Nrow 153    Sort cols:  1 (ASCEND)  4 (ASCEND)
    Table has     8 keyword-value pairs:
   NO_ANT   =            5
   NO_POL   =            2
   NO_IF    =            8
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table format incompatable with FITS ASCII tables
 
      70                                                                       1.485E-13          2
      70                                                                       1.482E-13          2
      70                                                                       1.478E-13          2
      70                                                                       1.475E-13          2
      70                                                                       1.471E-13          2
      70                                                                       1.467E-13          2
      70                                                                       1.464E-13          2
      71      7.813272D-01           21             2          0.000E+00       0.000E+00          2
      71                                                                       0.000E+00          2
      71                                                                       0.000E+00          2
      71                                                                       0.000E+00          2
      71                                                                       0.000E+00          2
      71                                                                       0.000E+00          2
      71                                                                       0.000E+00          2
      71                                                                       0.000E+00          2
      72      7.813272D-01           21             3         -5.044E-10       1.772E-13          2
      72                                                                       1.767E-13          2
      72                                                                       1.763E-13          2
      72                                                                       1.759E-13          2
      72                                                                       1.755E-13          2
      72                                                                       1.750E-13          2
      72                                                                       1.746E-13          2
      72                                                                       1.742E-13          2
      73      7.813272D-01           21             4          2.120E-10      -4.837E-14          2
      73                                                                      -4.825E-14          2
      73                                                                      -4.813E-14          2
      73                                                                      -4.802E-14          2
      73                                                                      -4.790E-14          2
      73                                                                      -4.779E-14          2
      73                                                                      -4.767E-14          2
      73                                                                      -4.756E-14          2
      74      7.813272D-01           21             5          7.628E-10      -2.697E-14          2
      74                                                                      -2.691E-14          2
      74                                                                      -2.684E-14          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page   12
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      74                                                                      -2.678E-14          2
      74                                                                      -2.671E-14          2
      74                                                                      -2.665E-14          2
      74                                                                      -2.658E-14          2
      74                                                                      -2.652E-14          2
      75      7.833874D-01           22             2          0.000E+00       0.000E+00          2
      75                                                                       0.000E+00          2
      75                                                                       0.000E+00          2
      75                                                                       0.000E+00          2
      75                                                                       0.000E+00          2
      75                                                                       0.000E+00          2
      75                                                                       0.000E+00          2
      75                                                                       0.000E+00          2
      76      7.833874D-01           22             3          3.003E-10       1.637E-13          2
      76                                                                       1.633E-13          2
      76                                                                       1.629E-13          2
      76                                                                       1.625E-13          2
      76                                                                       1.621E-13          2
      76                                                                       1.617E-13          2
      76                                                                       1.613E-13          2
      76                                                                       1.609E-13          2
      77      7.833874D-01           22             4         -1.153E-09      -3.058E-13          2
      77                                                                      -3.050E-13          2
      77                                                                      -3.043E-13          2
      77                                                                      -3.036E-13          2
      77                                                                      -3.028E-13          2
      77                                                                      -3.021E-13          2
      77                                                                      -3.014E-13          2
      77                                                                      -3.007E-13          2
      78      8.776698D-01           10             2          0.000E+00       0.000E+00          2
      78                                                                       0.000E+00          2
      78                                                                       0.000E+00          2
      78                                                                       0.000E+00          2
      78                                                                       0.000E+00          2
      78                                                                       0.000E+00          2
      78                                                                       0.000E+00          2
      78                                                                       0.000E+00          2
      79      8.776698D-01           10             3         -4.358E-10      -4.687E-14          2
